date,season,team,made_three_point_field_goals,attempted_three_point_field_goals,points,outcome
2/12/18,2017-2018,PHOENIX SUNS,3,23,83,LOSS
2/12/18,2017-2018,GOLDEN STATE WARRIORS,11,26,129,WIN
2/12/18,2017-2018,NEW YORK KNICKS,6,24,92,LOSS
2/12/18,2017-2018,PHILADELPHIA 76ERS,10,19,108,WIN
2/12/18,2017-2018,SAN ANTONIO SPURS,6,25,99,LOSS
2/12/18,2017-2018,UTAH JAZZ,11,24,101,WIN
2/13/18,2017-2018,SACRAMENTO KINGS,12,29,114,WIN
2/13/18,2017-2018,DALLAS MAVERICKS,15,40,109,LOSS
2/13/18,2017-2018,SAN ANTONIO SPURS,6,22,109,LOSS
2/13/18,2017-2018,DENVER NUGGETS,10,32,117,WIN
2/13/18,2017-2018,ATLANTA HAWKS,12,35,92,LOSS
2/13/18,2017-2018,MILWAUKEE BUCKS,8,25,97,WIN
2/13/18,2017-2018,HOUSTON ROCKETS,22,47,126,WIN
2/13/18,2017-2018,MINNESOTA TIMBERWOLVES,6,23,108,LOSS
2/13/18,2017-2018,CLEVELAND CAVALIERS,16,36,120,WIN
2/13/18,2017-2018,OKLAHOMA CITY THUNDER,11,35,112,LOSS
2/13/18,2017-2018,MIAMI HEAT,12,29,112,LOSS
2/13/18,2017-2018,TORONTO RAPTORS,13,35,115,WIN
2/14/18,2017-2018,LOS ANGELES CLIPPERS,11,29,129,WIN
2/14/18,2017-2018,BOSTON CELTICS,15,31,119,LOSS
2/14/18,2017-2018,INDIANA PACERS,6,15,108,WIN
2/14/18,2017-2018,BROOKLYN NETS,13,35,103,LOSS
2/14/18,2017-2018,TORONTO RAPTORS,14,38,122,WIN
2/14/18,2017-2018,CHICAGO BULLS,4,24,98,LOSS
2/14/18,2017-2018,ATLANTA HAWKS,6,33,98,LOSS
2/14/18,2017-2018,DETROIT PISTONS,13,33,104,WIN
2/14/18,2017-2018,SACRAMENTO KINGS,10,32,91,LOSS
2/14/18,2017-2018,HOUSTON ROCKETS,14,49,100,WIN
2/14/18,2017-2018,OKLAHOMA CITY THUNDER,17,37,121,WIN
2/14/18,2017-2018,MEMPHIS GRIZZLIES,14,27,114,LOSS
2/14/18,2017-2018,LOS ANGELES LAKERS,10,22,117,LOSS
2/14/18,2017-2018,NEW ORLEANS PELICANS,14,32,139,WIN
2/14/18,2017-2018,WASHINGTON WIZARDS,7,22,118,WIN
2/14/18,2017-2018,NEW YORK KNICKS,9,19,113,LOSS
2/14/18,2017-2018,CHARLOTTE HORNETS,13,30,104,WIN
2/14/18,2017-2018,ORLANDO MAGIC,15,37,102,LOSS
2/14/18,2017-2018,MIAMI HEAT,11,27,102,LOSS
2/14/18,2017-2018,PHILADELPHIA 76ERS,9,35,104,WIN
2/14/18,2017-2018,GOLDEN STATE WARRIORS,13,37,117,LOSS
2/14/18,2017-2018,PORTLAND TRAIL BLAZERS,12,33,123,WIN
2/14/18,2017-2018,PHOENIX SUNS,12,29,97,LOSS
2/14/18,2017-2018,UTAH JAZZ,10,34,107,WIN
2/15/18,2017-2018,DENVER NUGGETS,24,40,134,WIN
2/15/18,2017-2018,MILWAUKEE BUCKS,9,26,123,LOSS
2/15/18,2017-2018,LOS ANGELES LAKERS,7,31,111,LOSS
2/15/18,2017-2018,MINNESOTA TIMBERWOLVES,6,24,119,WIN
2/22/18,2017-2018,PHILADELPHIA 76ERS,11,29,116,WIN
2/22/18,2017-2018,CHICAGO BULLS,18,34,115,LOSS
2/22/18,2017-2018,BROOKLYN NETS,14,43,96,LOSS
2/22/18,2017-2018,CHARLOTTE HORNETS,11,21,111,WIN
2/22/18,2017-2018,WASHINGTON WIZARDS,12,30,110,WIN
2/22/18,2017-2018,CLEVELAND CAVALIERS,8,35,103,LOSS
2/22/18,2017-2018,LOS ANGELES CLIPPERS,11,32,127,LOSS
2/22/18,2017-2018,GOLDEN STATE WARRIORS,14,25,134,WIN
2/22/18,2017-2018,NEW YORK KNICKS,7,25,120,WIN
2/22/18,2017-2018,ORLANDO MAGIC,11,24,113,LOSS
2/22/18,2017-2018,OKLAHOMA CITY THUNDER,14,35,110,WIN
2/22/18,2017-2018,SACRAMENTO KINGS,12,27,107,LOSS
2/23/18,2017-2018,SAN ANTONIO SPURS,5,16,119,LOSS
2/23/18,2017-2018,DENVER NUGGETS,12,32,122,WIN
2/23/18,2017-2018,BOSTON CELTICS,17,39,110,WIN
2/23/18,2017-2018,DETROIT PISTONS,10,33,98,LOSS
2/23/18,2017-2018,MINNESOTA TIMBERWOLVES,10,26,102,LOSS
2/23/18,2017-2018,HOUSTON ROCKETS,14,38,120,WIN
2/23/18,2017-2018,ATLANTA HAWKS,7,31,93,LOSS
2/23/18,2017-2018,INDIANA PACERS,9,28,116,WIN
2/23/18,2017-2018,DALLAS MAVERICKS,19,42,102,LOSS
2/23/18,2017-2018,LOS ANGELES LAKERS,13,33,124,WIN
2/23/18,2017-2018,CLEVELAND CAVALIERS,11,29,112,WIN
2/23/18,2017-2018,MEMPHIS GRIZZLIES,9,24,89,LOSS
2/23/18,2017-2018,MIAMI HEAT,6,18,123,LOSS
2/23/18,2017-2018,NEW ORLEANS PELICANS,8,31,124,WIN
2/23/18,2017-2018,LOS ANGELES CLIPPERS,14,32,128,WIN
2/23/18,2017-2018,PHOENIX SUNS,9,31,117,LOSS
2/23/18,2017-2018,MILWAUKEE BUCKS,13,26,122,WIN
2/23/18,2017-2018,TORONTO RAPTORS,9,34,119,LOSS
2/23/18,2017-2018,PORTLAND TRAIL BLAZERS,9,24,100,WIN
2/23/18,2017-2018,UTAH JAZZ,6,25,81,LOSS
2/23/18,2017-2018,CHARLOTTE HORNETS,17,39,122,WIN
2/23/18,2017-2018,WASHINGTON WIZARDS,9,25,105,LOSS
2/24/18,2017-2018,OKLAHOMA CITY THUNDER,9,34,80,LOSS
2/24/18,2017-2018,GOLDEN STATE WARRIORS,17,38,112,WIN
2/24/18,2017-2018,MEMPHIS GRIZZLIES,5,11,89,LOSS
2/24/18,2017-2018,MIAMI HEAT,12,33,115,WIN
2/24/18,2017-2018,CHICAGO BULLS,6,23,104,LOSS
2/24/18,2017-2018,MINNESOTA TIMBERWOLVES,11,35,122,WIN
2/24/18,2017-2018,BOSTON CELTICS,13,33,121,WIN
2/24/18,2017-2018,NEW YORK KNICKS,6,27,112,LOSS
2/24/18,2017-2018,ORLANDO MAGIC,13,31,105,LOSS
2/24/18,2017-2018,PHILADELPHIA 76ERS,9,27,116,WIN
2/24/18,2017-2018,PORTLAND TRAIL BLAZERS,6,30,106,WIN
2/24/18,2017-2018,PHOENIX SUNS,11,26,104,LOSS
2/24/18,2017-2018,LOS ANGELES LAKERS,17,38,113,WIN
2/24/18,2017-2018,SACRAMENTO KINGS,13,25,108,LOSS
2/24/18,2017-2018,DALLAS MAVERICKS,10,35,90,LOSS
2/24/18,2017-2018,UTAH JAZZ,9,32,97,WIN
2/25/18,2017-2018,DETROIT PISTONS,4,18,98,LOSS
2/25/18,2017-2018,CHARLOTTE HORNETS,16,35,114,WIN
2/25/18,2017-2018,SAN ANTONIO SPURS,9,19,110,WIN
2/25/18,2017-2018,CLEVELAND CAVALIERS,8,34,94,LOSS
2/25/18,2017-2018,HOUSTON ROCKETS,15,35,119,WIN
2/25/18,2017-2018,DENVER NUGGETS,10,29,114,LOSS
2/25/18,2017-2018,NEW ORLEANS PELICANS,10,30,123,WIN
2/25/18,2017-2018,MILWAUKEE BUCKS,7,25,121,LOSS
2/25/18,2017-2018,PHILADELPHIA 76ERS,9,33,94,LOSS
2/25/18,2017-2018,WASHINGTON WIZARDS,12,25,109,WIN
2/26/18,2017-2018,LOS ANGELES LAKERS,15,33,123,WIN
2/26/18,2017-2018,ATLANTA HAWKS,8,36,104,LOSS
2/26/18,2017-2018,MEMPHIS GRIZZLIES,5,23,98,LOSS
2/26/18,2017-2018,BOSTON CELTICS,12,37,109,WIN
2/26/18,2017-2018,CHICAGO BULLS,6,23,87,LOSS
2/26/18,2017-2018,BROOKLYN NETS,16,42,104,WIN
2/26/18,2017-2018,INDIANA PACERS,5,20,103,LOSS
2/26/18,2017-2018,DALLAS MAVERICKS,14,37,109,WIN
2/26/18,2017-2018,PHOENIX SUNS,7,24,116,LOSS
2/26/18,2017-2018,NEW ORLEANS PELICANS,8,28,125,WIN
2/26/18,2017-2018,GOLDEN STATE WARRIORS,15,31,125,WIN
2/26/18,2017-2018,NEW YORK KNICKS,10,25,111,LOSS
2/26/18,2017-2018,ORLANDO MAGIC,12,29,105,LOSS
2/26/18,2017-2018,OKLAHOMA CITY THUNDER,11,25,112,WIN
2/26/18,2017-2018,MINNESOTA TIMBERWOLVES,7,16,118,WIN
2/26/18,2017-2018,SACRAMENTO KINGS,8,22,100,LOSS
2/26/18,2017-2018,DETROIT PISTONS,7,22,94,LOSS
2/26/18,2017-2018,TORONTO RAPTORS,17,38,123,WIN
2/26/18,2017-2018,HOUSTON ROCKETS,9,33,96,WIN
2/26/18,2017-2018,UTAH JAZZ,7,29,85,LOSS
2/27/18,2017-2018,CHICAGO BULLS,9,24,103,LOSS
2/27/18,2017-2018,CHARLOTTE HORNETS,15,35,118,WIN
2/27/18,2017-2018,BROOKLYN NETS,12,32,123,LOSS
2/27/18,2017-2018,CLEVELAND CAVALIERS,12,24,129,WIN
2/27/18,2017-2018,LOS ANGELES CLIPPERS,7,26,122,WIN
2/27/18,2017-2018,DENVER NUGGETS,10,31,120,LOSS
2/27/18,2017-2018,PHILADELPHIA 76ERS,12,31,101,LOSS
2/27/18,2017-2018,MIAMI HEAT,9,27,102,WIN
2/27/18,2017-2018,WASHINGTON WIZARDS,7,20,107,WIN
2/27/18,2017-2018,MILWAUKEE BUCKS,10,26,104,LOSS
2/27/18,2017-2018,SACRAMENTO KINGS,7,22,99,LOSS
2/27/18,2017-2018,PORTLAND TRAIL BLAZERS,15,34,116,WIN
2/28/18,2017-2018,INDIANA PACERS,11,32,102,LOSS
2/28/18,2017-2018,ATLANTA HAWKS,9,29,107,WIN
2/28/18,2017-2018,CHARLOTTE HORNETS,9,27,106,LOSS
2/28/18,2017-2018,BOSTON CELTICS,12,20,134,WIN
2/28/18,2017-2018,OKLAHOMA CITY THUNDER,10,36,111,WIN
2/28/18,2017-2018,DALLAS MAVERICKS,13,36,110,LOSS
2/28/18,2017-2018,MILWAUKEE BUCKS,8,24,87,LOSS
2/28/18,2017-2018,DETROIT PISTONS,9,29,110,WIN
2/28/18,2017-2018,HOUSTON ROCKETS,13,43,105,WIN
2/28/18,2017-2018,LOS ANGELES CLIPPERS,7,23,92,LOSS
2/28/18,2017-2018,PHOENIX SUNS,6,21,110,WIN
2/28/18,2017-2018,MEMPHIS GRIZZLIES,13,31,102,LOSS
2/28/18,2017-2018,TORONTO RAPTORS,12,30,117,WIN
2/28/18,2017-2018,ORLANDO MAGIC,13,30,104,LOSS
2/28/18,2017-2018,NEW ORLEANS PELICANS,9,26,121,WIN
2/28/18,2017-2018,SAN ANTONIO SPURS,9,26,116,LOSS
2/28/18,2017-2018,GOLDEN STATE WARRIORS,10,24,109,WIN
2/28/18,2017-2018,WASHINGTON WIZARDS,11,32,101,LOSS
3/1/18,2017-2018,PHILADELPHIA 76ERS,10,30,108,WIN
3/1/18,2017-2018,CLEVELAND CAVALIERS,9,32,97,LOSS
3/1/18,2017-2018,LOS ANGELES LAKERS,16,29,131,WIN
3/1/18,2017-2018,MIAMI HEAT,9,31,113,LOSS
3/1/18,2017-2018,MINNESOTA TIMBERWOLVES,4,20,99,LOSS
3/1/18,2017-2018,PORTLAND TRAIL BLAZERS,9,30,108,WIN
3/1/18,2017-2018,BROOKLYN NETS,17,46,111,LOSS
3/1/18,2017-2018,SACRAMENTO KINGS,6,14,116,WIN
3/2/18,2017-2018,GOLDEN STATE WARRIORS,11,31,114,WIN
3/2/18,2017-2018,ATLANTA HAWKS,15,35,109,LOSS
3/2/18,2017-2018,DALLAS MAVERICKS,13,29,100,LOSS
3/2/18,2017-2018,CHICAGO BULLS,10,27,108,WIN
3/2/18,2017-2018,NEW YORK KNICKS,11,25,105,LOSS
3/2/18,2017-2018,LOS ANGELES CLIPPERS,9,25,128,WIN
3/2/18,2017-2018,DENVER NUGGETS,6,22,108,WIN
3/2/18,2017-2018,MEMPHIS GRIZZLIES,10,27,102,LOSS
3/2/18,2017-2018,INDIANA PACERS,6,16,103,WIN
3/2/18,2017-2018,MILWAUKEE BUCKS,9,25,96,LOSS
3/2/18,2017-2018,DETROIT PISTONS,12,29,106,LOSS
3/2/18,2017-2018,ORLANDO MAGIC,13,36,115,WIN
3/2/18,2017-2018,CHARLOTTE HORNETS,11,24,99,LOSS
3/2/18,2017-2018,PHILADELPHIA 76ERS,9,24,110,WIN
3/2/18,2017-2018,OKLAHOMA CITY THUNDER,11,34,124,WIN
3/2/18,2017-2018,PHOENIX SUNS,11,25,116,LOSS
3/2/18,2017-2018,MINNESOTA TIMBERWOLVES,9,17,108,LOSS
3/2/18,2017-2018,UTAH JAZZ,9,29,116,WIN
3/2/18,2017-2018,TORONTO RAPTORS,10,33,102,WIN
3/2/18,2017-2018,WASHINGTON WIZARDS,9,24,95,LOSS
3/3/18,2017-2018,DENVER NUGGETS,19,35,126,WIN
3/3/18,2017-2018,CLEVELAND CAVALIERS,9,24,117,LOSS
3/3/18,2017-2018,BOSTON CELTICS,13,24,120,LOSS
3/3/18,2017-2018,HOUSTON ROCKETS,19,49,123,WIN
3/3/18,2017-2018,DETROIT PISTONS,7,24,96,LOSS
3/3/18,2017-2018,MIAMI HEAT,12,29,105,WIN
3/3/18,2017-2018,MEMPHIS GRIZZLIES,6,22,100,LOSS
3/3/18,2017-2018,ORLANDO MAGIC,8,25,107,WIN
3/3/18,2017-2018,OKLAHOMA CITY THUNDER,6,27,100,LOSS
3/3/18,2017-2018,PORTLAND TRAIL BLAZERS,11,33,108,WIN
3/3/18,2017-2018,UTAH JAZZ,11,32,98,WIN
3/3/18,2017-2018,SACRAMENTO KINGS,9,30,91,LOSS
3/3/18,2017-2018,LOS ANGELES LAKERS,15,34,116,WIN
3/3/18,2017-2018,SAN ANTONIO SPURS,7,30,112,LOSS
3/4/18,2017-2018,PHOENIX SUNS,11,26,112,LOSS
3/4/18,2017-2018,ATLANTA HAWKS,17,33,113,WIN
3/4/18,2017-2018,NEW ORLEANS PELICANS,12,26,126,WIN
3/4/18,2017-2018,DALLAS MAVERICKS,10,23,109,LOSS
3/4/18,2017-2018,BROOKLYN NETS,19,45,120,LOSS
3/4/18,2017-2018,LOS ANGELES CLIPPERS,10,27,123,WIN
3/4/18,2017-2018,PHILADELPHIA 76ERS,14,28,110,LOSS
3/4/18,2017-2018,MILWAUKEE BUCKS,10,23,118,WIN
3/4/18,2017-2018,NEW YORK KNICKS,6,21,99,LOSS
3/4/18,2017-2018,SACRAMENTO KINGS,13,30,102,WIN
3/4/18,2017-2018,CHARLOTTE HORNETS,5,21,98,LOSS
3/4/18,2017-2018,TORONTO RAPTORS,12,41,103,WIN
3/4/18,2017-2018,INDIANA PACERS,8,25,98,WIN
3/4/18,2017-2018,WASHINGTON WIZARDS,10,27,95,LOSS
3/5/18,2017-2018,BOSTON CELTICS,12,36,105,WIN
3/5/18,2017-2018,CHICAGO BULLS,12,33,89,LOSS
3/5/18,2017-2018,DETROIT PISTONS,12,34,90,LOSS
3/5/18,2017-2018,CLEVELAND CAVALIERS,12,33,112,WIN
3/5/18,2017-2018,MILWAUKEE BUCKS,7,23,89,LOSS
3/5/18,2017-2018,INDIANA PACERS,10,17,92,WIN
3/5/18,2017-2018,PORTLAND TRAIL BLAZERS,10,23,108,WIN
3/5/18,2017-2018,LOS ANGELES LAKERS,11,37,103,LOSS
3/5/18,2017-2018,PHOENIX SUNS,10,24,103,LOSS
3/5/18,2017-2018,MIAMI HEAT,12,36,125,WIN
3/5/18,2017-2018,MEMPHIS GRIZZLIES,8,22,98,LOSS
3/5/18,2017-2018,SAN ANTONIO SPURS,6,22,100,WIN
3/5/18,2017-2018,ORLANDO MAGIC,11,34,80,LOSS
3/5/18,2017-2018,UTAH JAZZ,10,31,94,WIN
3/6/18,2017-2018,PHILADELPHIA 76ERS,16,33,128,WIN
3/6/18,2017-2018,CHARLOTTE HORNETS,11,29,114,LOSS
3/6/18,2017-2018,DENVER NUGGETS,11,36,107,LOSS
3/6/18,2017-2018,DALLAS MAVERICKS,15,27,118,WIN
3/6/18,2017-2018,BROOKLYN NETS,9,34,101,LOSS
3/6/18,2017-2018,GOLDEN STATE WARRIORS,11,23,114,WIN
3/6/18,2017-2018,NEW ORLEANS PELICANS,13,30,121,WIN
3/6/18,2017-2018,LOS ANGELES CLIPPERS,7,27,116,LOSS
3/6/18,2017-2018,HOUSTON ROCKETS,17,33,122,WIN
3/6/18,2017-2018,OKLAHOMA CITY THUNDER,12,34,112,LOSS
3/6/18,2017-2018,NEW YORK KNICKS,7,19,87,LOSS
3/6/18,2017-2018,PORTLAND TRAIL BLAZERS,20,33,111,WIN
3/6/18,2017-2018,ATLANTA HAWKS,6,21,90,LOSS
3/6/18,2017-2018,TORONTO RAPTORS,10,36,106,WIN
3/6/18,2017-2018,MIAMI HEAT,9,33,113,LOSS
3/6/18,2017-2018,WASHINGTON WIZARDS,14,24,117,WIN
3/7/18,2017-2018,MEMPHIS GRIZZLIES,10,29,110,LOSS
3/7/18,2017-2018,CHICAGO BULLS,11,29,119,WIN
3/7/18,2017-2018,CLEVELAND CAVALIERS,13,29,113,WIN
3/7/18,2017-2018,DENVER NUGGETS,10,27,108,LOSS
3/7/18,2017-2018,TORONTO RAPTORS,12,40,121,WIN
3/7/18,2017-2018,DETROIT PISTONS,13,26,119,LOSS
3/7/18,2017-2018,UTAH JAZZ,11,31,104,WIN
3/7/18,2017-2018,INDIANA PACERS,3,23,84,LOSS
3/7/18,2017-2018,ORLANDO MAGIC,12,28,107,LOSS
3/7/18,2017-2018,LOS ANGELES LAKERS,11,33,108,WIN
3/7/18,2017-2018,HOUSTON ROCKETS,14,40,110,WIN
3/7/18,2017-2018,MILWAUKEE BUCKS,9,28,99,LOSS
3/7/18,2017-2018,NEW ORLEANS PELICANS,11,26,114,WIN
3/7/18,2017-2018,SACRAMENTO KINGS,9,28,101,LOSS
3/8/18,2017-2018,BROOKLYN NETS,11,32,125,WIN
3/8/18,2017-2018,CHARLOTTE HORNETS,4,19,111,LOSS
3/8/18,2017-2018,SAN ANTONIO SPURS,6,22,107,LOSS
3/8/18,2017-2018,GOLDEN STATE WARRIORS,8,30,110,WIN
3/8/18,2017-2018,PHILADELPHIA 76ERS,15,37,99,LOSS
3/8/18,2017-2018,MIAMI HEAT,14,26,108,WIN
3/8/18,2017-2018,BOSTON CELTICS,11,32,117,WIN
3/8/18,2017-2018,MINNESOTA TIMBERWOLVES,12,31,109,LOSS
3/8/18,2017-2018,PHOENIX SUNS,9,37,87,LOSS
3/8/18,2017-2018,OKLAHOMA CITY THUNDER,13,33,115,WIN
3/9/18,2017-2018,LOS ANGELES LAKERS,14,35,116,LOSS
3/9/18,2017-2018,DENVER NUGGETS,15,31,125,WIN
3/9/18,2017-2018,CHICAGO BULLS,9,31,83,LOSS
3/9/18,2017-2018,DETROIT PISTONS,9,27,99,WIN
3/9/18,2017-2018,ATLANTA HAWKS,10,33,87,LOSS
3/9/18,2017-2018,INDIANA PACERS,14,28,112,WIN
3/9/18,2017-2018,CLEVELAND CAVALIERS,12,36,102,LOSS
3/9/18,2017-2018,LOS ANGELES CLIPPERS,11,28,116,WIN
3/9/18,2017-2018,UTAH JAZZ,13,32,95,WIN
3/9/18,2017-2018,MEMPHIS GRIZZLIES,6,22,78,LOSS
3/9/18,2017-2018,NEW YORK KNICKS,7,28,112,LOSS
3/9/18,2017-2018,MILWAUKEE BUCKS,8,18,120,WIN
3/9/18,2017-2018,WASHINGTON WIZARDS,9,26,116,WIN
3/9/18,2017-2018,NEW ORLEANS PELICANS,6,20,97,LOSS
3/9/18,2017-2018,GOLDEN STATE WARRIORS,12,28,108,LOSS
3/9/18,2017-2018,PORTLAND TRAIL BLAZERS,16,39,125,WIN
3/9/18,2017-2018,ORLANDO MAGIC,9,29,88,LOSS
3/9/18,2017-2018,SACRAMENTO KINGS,9,25,94,WIN
3/9/18,2017-2018,HOUSTON ROCKETS,9,27,105,LOSS
3/9/18,2017-2018,TORONTO RAPTORS,15,38,108,WIN
3/10/18,2017-2018,PHOENIX SUNS,18,32,115,LOSS
3/10/18,2017-2018,CHARLOTTE HORNETS,13,32,122,WIN
3/10/18,2017-2018,MEMPHIS GRIZZLIES,7,18,80,LOSS
3/10/18,2017-2018,DALLAS MAVERICKS,10,29,114,WIN
3/10/18,2017-2018,ORLANDO MAGIC,8,24,105,LOSS
3/10/18,2017-2018,LOS ANGELES CLIPPERS,7,18,113,WIN
3/10/18,2017-2018,WASHINGTON WIZARDS,7,20,102,LOSS
3/10/18,2017-2018,MIAMI HEAT,10,28,129,WIN
3/10/18,2017-2018,SAN ANTONIO SPURS,10,20,94,LOSS
3/10/18,2017-2018,OKLAHOMA CITY THUNDER,10,28,104,WIN
3/11/18,2017-2018,CHICAGO BULLS,17,37,129,WIN
3/11/18,2017-2018,ATLANTA HAWKS,19,40,122,LOSS
3/11/18,2017-2018,INDIANA PACERS,12,22,99,WIN
3/11/18,2017-2018,BOSTON CELTICS,12,37,97,LOSS
3/11/18,2017-2018,PHILADELPHIA 76ERS,9,26,120,WIN
3/11/18,2017-2018,BROOKLYN NETS,10,28,97,LOSS
3/11/18,2017-2018,HOUSTON ROCKETS,17,45,105,WIN
3/11/18,2017-2018,DALLAS MAVERICKS,5,31,82,LOSS
3/11/18,2017-2018,SACRAMENTO KINGS,6,31,104,LOSS
3/11/18,2017-2018,DENVER NUGGETS,15,37,130,WIN
3/11/18,2017-2018,CLEVELAND CAVALIERS,12,31,113,LOSS
3/11/18,2017-2018,LOS ANGELES LAKERS,13,34,127,WIN
3/11/18,2017-2018,GOLDEN STATE WARRIORS,10,36,103,LOSS
3/11/18,2017-2018,MINNESOTA TIMBERWOLVES,6,20,109,WIN
3/11/18,2017-2018,UTAH JAZZ,12,32,116,WIN
3/11/18,2017-2018,NEW ORLEANS PELICANS,6,21,99,LOSS
3/11/18,2017-2018,TORONTO RAPTORS,16,35,132,WIN
3/11/18,2017-2018,NEW YORK KNICKS,7,21,106,LOSS
3/12/18,2017-2018,SAN ANTONIO SPURS,11,28,93,LOSS
3/12/18,2017-2018,HOUSTON ROCKETS,13,44,109,WIN
3/12/18,2017-2018,MILWAUKEE BUCKS,12,25,121,WIN
3/12/18,2017-2018,MEMPHIS GRIZZLIES,9,27,103,LOSS
3/12/18,2017-2018,SACRAMENTO KINGS,12,33,101,LOSS
3/12/18,2017-2018,OKLAHOMA CITY THUNDER,16,36,106,WIN
3/12/18,2017-2018,MIAMI HEAT,10,31,99,LOSS
3/12/18,2017-2018,PORTLAND TRAIL BLAZERS,14,36,115,WIN
3/13/18,2017-2018,OKLAHOMA CITY THUNDER,16,35,119,WIN
3/13/18,2017-2018,ATLANTA HAWKS,13,31,107,LOSS
3/13/18,2017-2018,TORONTO RAPTORS,11,31,116,WIN
3/13/18,2017-2018,BROOKLYN NETS,15,36,102,LOSS
3/13/18,2017-2018,LOS ANGELES CLIPPERS,8,29,112,WIN
3/13/18,2017-2018,CHICAGO BULLS,7,29,106,LOSS
3/13/18,2017-2018,DENVER NUGGETS,13,40,103,LOSS
3/13/18,2017-2018,LOS ANGELES LAKERS,15,40,112,WIN
3/13/18,2017-2018,CHARLOTTE HORNETS,7,26,115,LOSS
3/13/18,2017-2018,NEW ORLEANS PELICANS,9,22,119,WIN
3/13/18,2017-2018,DALLAS MAVERICKS,14,35,110,WIN
3/13/18,2017-2018,NEW YORK KNICKS,8,25,97,LOSS
3/13/18,2017-2018,INDIANA PACERS,5,24,101,WIN
3/13/18,2017-2018,PHILADELPHIA 76ERS,10,30,98,LOSS
3/13/18,2017-2018,CLEVELAND CAVALIERS,17,35,129,WIN
3/13/18,2017-2018,PHOENIX SUNS,6,32,107,LOSS
3/13/18,2017-2018,ORLANDO MAGIC,7,23,72,LOSS
3/13/18,2017-2018,SAN ANTONIO SPURS,9,19,108,WIN
3/13/18,2017-2018,DETROIT PISTONS,5,25,79,LOSS
3/13/18,2017-2018,UTAH JAZZ,13,34,110,WIN
3/13/18,2017-2018,MINNESOTA TIMBERWOLVES,7,21,116,WIN
3/13/18,2017-2018,WASHINGTON WIZARDS,8,20,111,LOSS
3/14/18,2017-2018,WASHINGTON WIZARDS,12,32,125,WIN
3/14/18,2017-2018,BOSTON CELTICS,12,26,124,LOSS
3/14/18,2017-2018,LOS ANGELES LAKERS,12,38,106,LOSS
3/14/18,2017-2018,GOLDEN STATE WARRIORS,6,20,117,WIN
3/14/18,2017-2018,MILWAUKEE BUCKS,10,24,117,LOSS
3/14/18,2017-2018,ORLANDO MAGIC,18,34,126,WIN
3/14/18,2017-2018,MIAMI HEAT,18,43,119,LOSS
3/14/18,2017-2018,SACRAMENTO KINGS,8,24,123,WIN
3/15/18,2017-2018,CHARLOTTE HORNETS,17,33,129,WIN
3/15/18,2017-2018,ATLANTA HAWKS,16,36,117,LOSS
3/15/18,2017-2018,DETROIT PISTONS,14,27,113,LOSS
3/15/18,2017-2018,DENVER NUGGETS,12,28,120,WIN
3/15/18,2017-2018,LOS ANGELES CLIPPERS,4,18,96,LOSS
3/15/18,2017-2018,HOUSTON ROCKETS,12,41,101,WIN
3/15/18,2017-2018,TORONTO RAPTORS,12,32,106,WIN
3/15/18,2017-2018,INDIANA PACERS,7,24,99,LOSS
3/15/18,2017-2018,CHICAGO BULLS,15,41,111,WIN
3/15/18,2017-2018,MEMPHIS GRIZZLIES,13,35,110,LOSS
3/15/18,2017-2018,PHILADELPHIA 76ERS,15,37,118,WIN
3/15/18,2017-2018,NEW YORK KNICKS,5,20,110,LOSS
3/15/18,2017-2018,CLEVELAND CAVALIERS,11,33,105,LOSS
3/15/18,2017-2018,PORTLAND TRAIL BLAZERS,12,35,113,WIN
3/15/18,2017-2018,NEW ORLEANS PELICANS,6,16,93,LOSS
3/15/18,2017-2018,SAN ANTONIO SPURS,7,26,98,WIN
3/15/18,2017-2018,PHOENIX SUNS,7,16,88,LOSS
3/15/18,2017-2018,UTAH JAZZ,12,36,116,WIN
3/16/18,2017-2018,SACRAMENTO KINGS,14,31,98,WIN
3/16/18,2017-2018,GOLDEN STATE WARRIORS,12,26,93,LOSS
3/16/18,2017-2018,MIAMI HEAT,10,36,92,WIN
3/16/18,2017-2018,LOS ANGELES LAKERS,9,19,91,LOSS
3/16/18,2017-2018,LOS ANGELES CLIPPERS,11,26,113,LOSS
3/16/18,2017-2018,OKLAHOMA CITY THUNDER,11,32,121,WIN
3/16/18,2017-2018,BOSTON CELTICS,9,26,92,WIN
3/16/18,2017-2018,ORLANDO MAGIC,5,28,83,LOSS
3/16/18,2017-2018,BROOKLYN NETS,15,30,116,LOSS
3/16/18,2017-2018,PHILADELPHIA 76ERS,12,27,120,WIN
3/16/18,2017-2018,DALLAS MAVERICKS,6,22,115,LOSS
3/16/18,2017-2018,TORONTO RAPTORS,10,30,122,WIN
3/17/18,2017-2018,DALLAS MAVERICKS,12,22,106,LOSS
3/17/18,2017-2018,BROOKLYN NETS,14,36,114,WIN
3/17/18,2017-2018,CLEVELAND CAVALIERS,13,37,114,WIN
3/17/18,2017-2018,CHICAGO BULLS,16,34,109,LOSS
3/17/18,2017-2018,DENVER NUGGETS,9,33,94,LOSS
3/17/18,2017-2018,MEMPHIS GRIZZLIES,13,32,101,WIN
3/17/18,2017-2018,ATLANTA HAWKS,12,36,117,LOSS
3/17/18,2017-2018,MILWAUKEE BUCKS,11,25,122,WIN
